topic;post
Kariera; Ile by Wam zajęło zrobienie takiego zadania https://github.com/perseusEng[...]ckend-challenges/user-service 
Kariera; Patrząc na ten artykuł można się szykować powoli powrotu do mordoru - jak u Was wygląda sytuacja? Macie już jakieś pierwsze informacje o powrocie do mordoru? https://warszawa.naszemiasto.[...]zie-wygladala-w/ar/c1-7671255? 
Kariera; Tytuł wątku nie jest przypadkowy. B2B stało się niesamowicie popularne a już zwłaszcza w świecie IT. Podstawowym wytłumaczeniem jest oczywiście optymalizacja podatkowa choć w części przypadków to zwykła fikcja (mała faktura + często nie doliczamy urlopu, chorobowego, itd.). Ostatnio miałem okazję przyglądać się wzorom kilku umów i czytając niektóre z nich nie mogłem uwierzyć, że ktoś mógł potencjalnie zgodzić się na taki cyrograf. Z własnych obserwacji spisałem parę rad dla świeżych w temacie umów firma-firma. 1. Czytaj ze zrozumieniem Tak wiem. Nikogo nie powinno zaskakiwać, że ustawiam to jako punkt pierwszy. Mam znajomych z branży co autentycznie dostają umowę i w ciemną ją podpisują. Gdyby chodziło o UOP to nawet podpisanie w ciemno jest względnie bezpieczne. Ale b2b to inna bajka. Zawsze czytam umowę kilka razy. Zdanie po zdaniu. Powoli i na spokojnie analizuje potencjalne zagrożenia. Nie rozumiesz jakiegoś zapisu? Zapytaj i poproś o doprecyzowanie w umowie. Jeżeli nie znasz się na zawieraniu i pisaniu/czytaniu umów to pogadaj z prawnikiem. Nie udawaj bohatera, programista nie musi znać się na prowadzeniu firmy a prawnik powinien wskazać ci potencjalne zagrożenia wynikające z umowy. 2. Nie śpiesz się Pośpiech jest złym doradcą. Nie raz tak bywa. Dostajesz umowę a podpis masz złożyć najpóźniej jutro.. Im mniej masz czasu tym większa szansa na popełnienie błędu. Takie błędy mogą kosztować cię dużo więcej niż twoich kolegów z UOP (3x wysokość pensji), pamiętaj, że na działalności odpowiadasz całym swoim majątkiem. Daj sobie czas. Pamiętaj, że możesz obrócić pośpiech na swoją stronę. Im dłużej odwlekasz podpisanie umowy tym większa presja ze strony potencjalnego pracodawcy. 3. Przedmiot działalności musi być opisany szczegółowo To że masz napisane, że będziesz świadczył usługi programowania to guzik znaczy. Ten ogólny opis mówi, że jednego dnia mogą kazać ci pisać w Pythonie, a drugiego w Javie. Niech to będzie opisane możliwie jak najbardziej szczegółowo np. na podstawie twoich kompetencji (wymienione technologie w których masz pewność, że umiesz się poruszać). 4. Kary Nie dajcie sobie wmówić, że kary w umowie b2b to standard. Wcale tak nie jest. Na takiej umowie można umieścić cokolwiek. W tym np. kary. Są kary sensowne, jak i te kompletnie z czapy. Sensowną karą jest np. kara za konkurencję. Nikt nie chce tracić klientów na rzecz własnych pracowników, to normalne. Kara za błąd w kodzie jest karą z czapy, bo błędy się zdarzają a tym bardziej w dużych zespołach i robionych pod presją czasu. Na UOP jesteś karany raz (uogólniam), a na b2b.. tyle ile jest w umowie. To miałem na myśli pisząc w tytule o cyrografie. Kara za błąd, kara za naprawienie błędu przez kogoś innego, kara za zwłokę w naprawieniu błędu, kara uzupełniająca za potencjalne straty, kary wyrównawcze i wiele innych. Śmieszą mnie takie umowy gdzie kary zajmują połowę lub więcej tekstu. Jeżeli twój pracodawca uważa, że popełniłeś błąd to niech udowodni ci to drogą sądową a nie, że idzie od razu do komornika. Pamiętajcie, że wy też możecie karać pracodawcę. Jeżeli nie płaci w terminie to dlaczego mam na niego nie nałożyć odsetek? 5. Miejsce świadczenia usług To banalne, ale często pomijane. Miejsce świadczenia usług powinno być jasno określone o ile to możliwe. Często pracujemy dla klienta a nasza firma matka nie jako pośredniczy. Nie mniej, w umowie powinna być lista klientów oraz ich lokalizacji, do których mogą cię wysłać, żeby się nie okazało, że czeka cię niespodziewana wycieczka do RPA. 6. Zakaz konkurencji Ja lubię B2B za pewnego rodzaju swobodę. Często robimy na boku jakieś małe projekty. Zawsze chce mieć tą bezpieczną sytuację, że nagle nie stracę możliwości wykonywania pracy lub zleceń. Jeżeli zakaz konkurencji jest złośliwy to może się okazać, że po rozwiązaniu umowy nie będziesz mógł podjąć zatrudnienia u nikogo innego. Dobrze zapoznaj się z zapisem o zakazie konkurencji. Nie zmuszam do porad prawnych ale w tych kwestiach zawsze stawiam na ludzi znających się na prawie lepiej ode mnie. 7. Umowy tworzy się na gorsze czasy. Kiedy wszystko jest ok, pieniądze są to i bez umowy pracodawca pewnie by ci płacił. Umowy tworzy się na wszelki wypadek. Pomyślałeś co się stanie, jeżeli pracodawca nie zapłaci ci faktury? Zapewne powiesz, że pójdziesz do sądu. Prawda jest taka, że ich stać na walkę w sądzie ciągnącą się latami a ciebie nie. Spekuluj i przewiduj. Wszystko może się zdarzyć a lepiej na koniec nie zostać z ręką w nocniku. Prawdopodobnie wymienione przeze mnie punkty to ułamek tego co można powiedzieć na temat umów b2b. Zachęcam do udzielenia się w wątku i przedstawienia własnych opinii, obserwacji czy historii. Wzajemna edukacja w zakresie umów b2b może przynieść dobre rezultaty dla naszego świata IT. :)  Jak wejść do świata IT tutorial.  Zanim podpiszesz cyrograf... Obserwacje umów B2B 
Kariera; A więc masz X lat, zajmujesz się w życiu Y, mieszkasz w Z. Myślisz o zmianie zawodu na zawód programisty. Tematy o podobnej treści pojawiają się wielokrotnie, a jakość odpowiedzi jest niska, spowodowana znużeniem Odpowiadających. Post ma na celu przedstawienie pewnych kwestii, które powinny rozważyć osoby rozważające przebranżowienie. Zasady tutaj opisane są spełnione w znakomitej większości przypadków, ale wiadomo, że w życiu od każdej takiej zasady są wyjątki. Wyjątki te są nieliczne. Uwaga: W celu uniknięcia powtarzania się, będę nazywać początkującymi programistami osoby kandydujące na poziom entry-level (staż) oraz junior (programista z małym doświadczeniem). Będę też używał pojęć mid - programista na średnim poziomie doświadczenia, senior - programista na wysokim poziomie doświadczenia. Dla leniwych -- podsumowanie (tzw. TLDR) znajduje się na końcu. Biorąc pod uwagę przebranżowienie, musisz wziąć pod uwagę co najmniej poniższe tematy: I. Profil osoby, która będzie konkurować z Tobą o pracę Na stanowisko programisty początkującego będzie kilkanaście-kilkadziesiąt osób chętnych. W celu pokonania konkurencji musisz się zaprezentować jako najlepsza z tych osób, tzn. każda jedna osoba z tej grupy musi być mniej atrakcyjna dla pracodawcy. Typowych konkurentów, których musisz POKONAĆ(mowa tylko o takich!) można podzielić na 2 grupy: student lub absolwent  ma ponadprzeciętne obycie z komputerami -- wie co to folder, jak szybko skasować linijkę w edytorze, umie odpalić terminal i wykonać komendy, zna skróty Ctrl+X/C/V itd. itp. uczył się matematyki rozszerzonej na poziomie licealnym -- na maturze rozwiązywał problemy podając dane(input), algorytm rozwiązania złożony z kilku mniejszych algorytmów, wynik(output) ukończył/kończy studia na kierunku informatyka -- w trakcie studiów odbył co najmniej kilkadziesiąt (szacunek dla studiów magisterskich: 20-25 przedmiotów) związanych z językami programowania i technologiami pokrewnymi, na każdym z tych przedmiotów musiał napisać na zaliczenie średnio 3 większe programy lub 30 malutkich, o przedmiotach związanych z teorią informatyki nawet nie wspominając w trakcie studiów rozwiązywał na własną rękę problemy programistyczne - pracował na część etatu i/lub pracował na cały etat w wakacje i/lub robił własne projekty  Zróbmy więc szacunek tego, co taki student minimum wykonał: 10 przedmiotów x3 programy zaliczeniowe większe == 30 programów x 20h każdy == 600h 10 przedmiotów x30 programy małe == 300 programów x 2h każdy == 600h praca własna, niekoniecznie komercyjna == powiedzmy 4x przerwa wakacyjna 2 miesiące x 168h == 1344h matematyka - doskonalenie umiejętności myślenia(no dobra, raczej wkuwania), algorytmów dyskretnych i grafowych, metod numerycznych itd == powiedzmy 25 przedmiotów x 4h == 1500h (tylko wykłady i ćwiczenia/laboratoria!) Podsumowując szacunek dobrego, ale nie wybitnego, absolwenta studiów magisterskich, który będzie konkurował z Tobą o miejsce pracy:   ugruntowana wiedza z matematyki oraz informatyki licealnej 2500 godzin poświęcone na programowanie i technologie pokrewne 1500 godzin poświęcone na matematykę/teorię informatyki -- wiele z nich może być czasem straconym, tym niemniej część stanowi rzeczy przydatne w życiu typowego mida  samouk  ma ponadprzeciętne obycie z komputerami -- jak wyżej zna dobrze język angielski -- na tyle dobrze aby wyszukać i zrozumieć informacje w Internecie ma silną motywację do nauczenia się rozmowy z komputerami -- czego dowiódł, poświęcając ogromną ilość czasu implementując samodzielnie nietrywialne rozwiązania informatyczne, które działają, mają ręcę i nogi przynajmniej na poziomie użytkowym, które można zobaczyć, porównać z konkurencyjnymi rozwiązaniami może mieć niekiedy mniejszy zakres poznanych technologii lub wręcz nie znać pewnych podstaw matematycznych, ale na pewno coś nietrywialnego potrafi w swojej dziedzinie potrafi rozwiązać problem programistyczny z szerokiej gamy problemów, potrafi wyszukać i zaadaptować jakieś rozwiązanie, potrafi już przewidzieć pewne konsekwencje swoich rozwiązań -- z tym wszystkim spotkał się w pracy własnej, ze szczególnym naciskiem na umiejętność zidentyfikowania problemu, wyszukania rozwiązania, adaptacji do swoich potrzeb  Podsumowując szacunek samouka na poziomie pozwalającym konkurować z Tobą o miejsce pracy:  ukończony lub działający co najmniej jeden samodzielnie stworzony spory projekt programistyczny, po którym widać, że autor ma spore doświadczenie w programowaniu, i umie rozwiązać wiele różnych problemów średnio 4h/dzień programowania x 365 dni x 2 lata == 2920 godzin, oczywiście można przyjąć tu wartości dowolne, zależne m.in. od tego, czy konkuruje o stanowisko entry-level czy już junior  II. Przydatność osób początkujących dla pracodawcy Osoba początkująca ma za zadanie rozwiązać stosunkowo proste problemy. Dostając zadanie rozwiązania prostego problemu, typowe problemy z którymi może się zmagać osoba początkująca:  niezdolność do zidentyfikowania miejsca wystąpienia problemu (w kodzie) niezdolność do zrozumienia, co już istniejący kod robi i dlaczego, w konsekwencji niezdolność do zaproponowania zmiany konieczność przedstawienia (swoim językiem, czyli często w sposób nieprecyzyjny, zaciemniający) napotkanego problemu midowi/seniorowi, który potem mid/senior i tak musi rozwiązać niezdolność do wyjścia z własnych błędów, w konsekwencji prośby o pomoc do midów/seniorów o pomoc z błędami, które to błędy każdy mid natychmiast naprawi, albo nigdy nie popełni  Czyli mamy dwa ogólne przypadki: a) samodzielna osoba początkująca, typowo rozwiązująca problemy w dużej mierze samodzielnie, ale bardzo wolno lub wolno, ale po której rozwiązania bez sprawdzenia nikt rozsądny nie puści na produkcję w wyniku sprawdzenia typowo wychodzą kwestie przypadków pesymistycznych (nieoczekiwane sytuacje chwilowej awarii, niegrzeczni użytkownicy proszący o dane innych użytkowników, itp.) b) niesamodzielna osoba początkująca, która więcej zabiera czas osobom realnie pracującym, niż przynosi wartości Czyli mamy: a) zysk dla pracodawcy w okolicach zera -- te 10% czasu zabranego midom/seniorom bilansuje się na niewielki plus z pozostałym czasem (90% pracy własnej, którą mid zrobi 3x szybciej, powoduje że wychodzi 90% czasu przepracowanego x 0,33 wydajności - 10% == 30% - 10% == zysk 20% wydajności mida dla pracodawcy b) zysk dla pracodawcy ujemny -- te 30% czasu zabranego midom bilansuje się na minus z pracą własną (analogicznie 70% czasu przepracowanego x 0,33 wydajności - 30% == STRATA 7% wydajności mida dla pracodawcy) Podsumowując, jeżeli osoba a zarabia więcej niż 20% zarobków mida, to już jest niesprawiedliwie wysoko wynagradzana, jeżeli osoba b zarabia cokolwiek zamiast dopłacać, to już jest niesprawiedliwe wysoko wynagradzana. To powoduje niską chęć pracodawców do zatrudniania osób początkujących, a wysoką do zatrudniania osób mid/senior. Jeżeli pracodawcy w ogóle mają chęć zatrudniania początkujących, to najczęściej w nadziei, że taka osoba zostanie w firmie i zwróci się w perspektywie czasu. III. Znajomość technologii a praca programisty Część osób rozważających przebranżowienie może mieć przekonanie, że znajomość składni języka programowania lub w ogólności znajomość technologii jest jednym z najważniejszych warunków do pracy programisty. Jest to pogląd równie uzasadniony, jak taki, że umiejętność napisania Ala ma kota umożliwia pisanie książek, które się sprzedają w milionowych nakładach. Przecież książka to tylko wielkich rozmiarów ciąg zdań, prawda? Tymczasem istotna jest umiejętność zastosowania języka programowania, innych technologii, do rozwiązania realnego problemu w czasie akceptowalnym przez pracodawcę, z zachowaniem pewnych zasad co do wydajności integralności oraz bezpieczeństwa danych odporności rozwiązania na zmiany, i jeszcze wielu innych podobnych czynników. Wracając do przykładu z książką, naprawdę nie jest rzeczą trudną nauczyć się pisać zdania. Nie jest łatwo nauczyć się pisać książki, na których można zarobić. Na wszelki wypadek podam analogię. Nie jest rzeczą trudną opanować język programowania czy technologie pokrewne. Nie jest łatwo nauczyć się tworzyć oprogramowanie, które ma ręce i nogi. (IV. do 2^64 - 1 -- zarezerwowane na potem, jeżeli mi się coś przypomni) PODSUMOWANIE I. Konkurujesz lub rozważasz konkurowanie na stanowisko początkującego programisty z osobami, które poświęciły typowo kilka tysięcy godzin na programowanie, i potrafią samodzielnie rozwiąząć albo szeroką gamę problemów, albo są doskonali w jednej dziedzinie. Mowa o bezpośrednich konkurentach -- najlepszych z aplikujących na to stanowisko, a nie średnich, nie słabych. II. Przydatność początkującego programisty dla pracodawcy jest niska albo bardzo niska, o wiele niższa niż przeciętna osoba początkująca sobie wyobraża. Liczba ofert pracy i płace to odzwierciedlają, przy czym pozornie niskie płace początkujących programistów, są lepsze niż się wydaje. III. Nauczenie się na 95% języka programowania i technologii pokrewnych do warunek konieczny do pracy programisty, ale nie warunek dostateczny. Trzeba też wiedzieć, jak w praktyce się stosuje ten język programowania, aby rozwiązać praktyczne, realne problemy, i do tego potrzeba doświadczenia w tworzeniu oprogramowania. Sporo doświadczenia. 
Kariera; Co chwila pojawia sie tu temat z pytaniami o praktyki, więc uznałem że może warto popełnić i przykleić taki temat :) CERN -> http://careers.cern/alljobs CERN oferuje całą masę różnych programów na całkiem dobrych warunkach. Po krótce:  Summer Student: 8-13 tygodni w czasie wakacji, dostaje się ~2800 CHF miesięcznie. Kierowany głównie do fizyków, inżynierów i koderów. Dostać się jest ciężko bo polska ma tylko kilka slotów. Czas składania aplikacji jest od listopada do stycznia. Warunek konieczny to ukończony 3 rok studiów w czasie rozpoczęcia praktyki (więc można aplikować zaczynając 3 rok studiów). OpenLab: 8 tygodni w czasie wakacji, dostaje się podobnie ~2800 chf miesięcznie. Kierowany głównie dla IT. Niby miejsc jest bardzo mało, ale wiem przynajmniej o kilku osobach z polski które były. Czas składania aplikacji jest od stycznia do marca. Podobnie jak dla Summer Studenta konieczny ukończony 3 rok studiów. Short-term intern: 3-6 miesięcy, można to robić w czasie wakacji, dostaje się ~1500 CHF miesięcznie. Kierowany zarówno do fizyków jak i wszelkiej maści inżynierów (+ są nawet miejsca dla humanistów w administracji). W przeciwieństwie do 2 powyższych nie ma ograniczeń ilościowych dla krajów, więc teoretycznie łatwiej się dostać. Warunek konieczny to zdobycie z uczelni papierka który mówi, że odbycie takiej praktyki jest koniecznym elementem waszych studiów :) Technical Student: 6-12 miesięcy (plus możliwe przedłużenie do 14), dostaje się ~3300 CHF. Kierowany do wszelkiej maści inżynierów. Przy kwalifikacji ponoć lepiej patrząc na tych którzy aplikują na cały rok. Teoretycznie można to robić nie biorąc dziekanki -> zachęcają żeby projekt który się klepie był projektem na pracę dyplomową, ale nie jest to konieczne. Niemniej ma sie np. dodatkowy urlop na załatwianie spraw uczelnianych (egzaminy etc). Składanie aplikacji jest otwarte cały czas ale kwalifikacje są 2 razy w roku. VIA: 6-24 miesiące, dostaje się tutaj trochę więcej niż Technical. Kierowane zarówno do fizyków jak i inżynierów.  ESA -> http://www.esa.int/About_Us/Careers_at_ESA/Student_Internships2 Praktyki dla studentów są 3-6 miesięczne, z preferencją tych dłuższych. Szału nie ma bo ESA płaci tylko wyrównanie kosztów w postaci ~20 euro dziennie / 600 euro miesięcznie. Niemniej można do tego dorzucić erazmusa i można przeżyć. Można aplikować do różnych miejsc -> Holandia, Niemcy, Hiszpania, Włochy, UK, Francja. Oprócz samych praktyk ESA oferuje też współpracę przy projektach: http://www.esa.int/Education/About_Drop_Your_Thesis -> ty wymyślasz eksperyment a potem ESA udostępnia ci wieżę do zrzucania :) http://www.esa.int/Education/Spin_Your_Thesis!_programme -> ty wymyślasz eksperyment a potem ESA udostępnia ci wirówkę kręcącą do przeciążenia 20g http://www.esa.int/Education/[...]ments_for_University_Students -> ty wymyślasz eksperyment a potem ESA udostępnia ci rakietę która wynosi go na 100km Nanyang Technological University -> http://global.ntu.edu.sg/GMP/gri/Pages/default.aspx Praktyki trwają 8 tygodni, dostaje się za nie ~3000 sgd (za całość, nie za miesiąc!). Ponoć jest to całkiem fajne no i można zwiedzić sobie kawałek świata bo to Singapur ) Google -> http://www.google.com/about/careers/students/ Vulcanus -> http://www.eu-japan.eu/vulcanus-japan-0 2,000,000 Yen, 12 miesięcy w Japonii - 4 nauka języka, 8 - praktyka. Zachęcam do uzupełniania informacji!  Masz problem? Pisz na forum, nie do mnie. Nie masz problemów? Kup komputer... 
Kariera; Polepszylo sie cos przez ostatnie 2 lata? Czy nadal zwalniaja? Sa jakies nowe projekty z nowymi technologiami? Jak wygladaja zarobki dla Seniora? Dalej wysylaja do Stanów? 
Kariera; Jako iż często w tym dziale pojawiają się zapytania o opinie na temat danej firmy, pomyślałem, że fajną rzeczą byłoby zrobić arkusz z listą wszystkich firm IT (na chwilę obecną z Krakowa, ale nic nie stoi na przeszkodzie, żeby dodać kolejne miasta) wraz z ich:  technologiami,  typem firmy (startup, SH, korpo, etc.)  adresem i opiniami.    Zachęcam do dodawania technologii i anonimowych opinii (a także brakujących firm), link do arkusza: https://docs.google.com/sprea[...]gt7jGkDWiSFvlzhxec/edit#gid=0 PS. Tak, wiem, że istnieją takie serwisy jak GoWork albo Glassdoor, ale opinie tam rzadko są wystarczające, jeśli chodzi o ocenę pracy w dziale IT. 
Kariera; Cześć! Ostatnio z powodu mojej mamy, która ma własną działalność postanowiłem wykonać dla niej aplikację która w sumie spełnia swoje działanie  + cały czas ją rozwijam. Pytanie właśnie z tytułu mi się nasunęło czy rozwijanie właśnie tej aplikacji i potem zbudowanie na jaj podstawie działalności i później ewentualnego utrzymania ma sens, jeśli na rynku istnieje paru większych, graczy? Dodam, że na rynku codziennie powstają działalności z tego zakresu odbiorców do których jest skierowana apka. Zakładając rzecz jasna, że cena mojej była by znacznie niższa + funkcjonalność była by na podobnym poziomie i ciągle rozwijana? Potrzebuję dobrego słowa, które mi jest w stanie powiedzieć: czy nie warto się poddawać i walczyć o klientów i czy to się opłaci? Może ktoś z was miał takie doświadczenia z swoim produktem i by się podzielił ze mną i innymi użytkownikami? :) 
Kariera; Cześć, Jestem nowy na forum, witam wszystkich. Mam pytanie dotyczące pracy w firmie Tink (https://tink.com/). Czy ktoś pracował, pracuje? Jakie są Wasze opinie? Przyznam, że znalazłem kilka bardzo nieprzychylnych w internetach i chciałbym dowiedzieć się czegoś z pierwszej ręki. Oczywiście chodzi o biuro w Warszawie. Pozdrawiam serdecznie. 
Kariera; Orientuje się ktoś, jakie są widełki na wakacyjnym stażu w Allegro? 
